reference_id,category,file_name,bytes,sha256,source_page,drive_file_id,drive_parent_folder_id,authority,learning_scope
coco-2017,animation,coco-2017.pdf,271439,6e73cf149ed84943a56cacde5530849de9622282c509a1c5fe68dce36f8af019,https://www.scriptslug.com/script/coco-2017,16XlpvoAaGqdQWB_iMc29VYTzn3LVn2_G,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
elemental-2023,animation,elemental-2023.pdf,296180,68b0201b6d284763a683f39b8c795b33868826d981eb79cbd3468827867a517a,https://www.scriptslug.com/script/elemental-2023,1vtk2OTBJPlnYIT8q5Q7w4mqCsludrP27,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
encanto-2021,animation,encanto-2021.pdf,301618,2366d7ca8042401d06898dde4ced44729ed61ec7c58d2678c7e19a07108bae1b,https://www.scriptslug.com/script/encanto-2021,16IZZg2Gt4HvdDWkiePia2j4ykwGzoDEa,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
how-to-train-your-dragon-the-hidden-world-2019,animation,how-to-train-your-dragon-the-hidden-world-2019.pdf,927194,38edc027bf21a24b1d5ba8f7975d9b2fc4e45b2ed58da41aa679a8937c4cb02c,https://www.scriptslug.com/script/how-to-train-your-dragon-the-hidden-world-2019,1T9XzK8bdwZUmRMboANwVbUIhIGiXaI8s,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
inside-out-2015,animation,inside-out-2015.pdf,168448,82df280531b694b1cee9129367017b70a2e8945085af5eca7123f619ce4247d9,https://www.scriptslug.com/script/inside-out-2015,1xC8a8Skk9ro2GV0rN3UblMykvJ8a2AtR,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
isle-of-dogs-2018,animation,isle-of-dogs-2018.pdf,5304424,2b4dafa8e5a0d6a7918a041dea47e381b216ef7d2bfb85601ac65bee422e3211,https://www.scriptslug.com/script/isle-of-dogs-2018,1QWa-ZKbTJZT0xymRJdkVgP-uawYR1LMe,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
kubo-and-the-two-strings-2016,animation,kubo-and-the-two-strings-2016.pdf,206297,fa29817e16fb0de81e7b962212734e27f7ec38f809795dce257f647a8881ed07,https://www.scriptslug.com/script/kubo-and-the-two-strings-2016,1qzZhA8rZbbY2vGnjwVdzGnm0w11iHaIg,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
luca-2021,animation,luca-2021.pdf,320065,ec84c7c0a1e1de751bc623e87d38b8a4bb49c46357ac05af65a19e0c1d602eee,https://www.scriptslug.com/script/luca-2021,1M3gVkwACRGVO9OgjHPCzlVzv39DqVPQ6,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
over-the-moon-2020,animation,over-the-moon-2020.pdf,254332,a450866978bef4af42fa206d6a105dcfe645048ca6a7e5d7faf1aa57de16d825,https://www.scriptslug.com/script/over-the-moon-2020,1U_z7Jv71HYNv3d26NSFB1qcoJB1yMwXW,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
ratatouille-2007,animation,ratatouille-2007.pdf,250643,a5d25caca60070b9e06a48b502316dcdaae8104fe3c11208ff4c5af122d3b19d,https://www.scriptslug.com/script/ratatouille-2007,1yhtAvtqY7q7-Cw_CvB2rCDdpOaD_PcNV,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
raya-and-the-last-dragon-2021,animation,raya-and-the-last-dragon-2021.pdf,264708,afacd0a348b8a4af2ccba7af7e6750e8754715c382bfbac19134c548e06460ba,https://www.scriptslug.com/script/raya-and-the-last-dragon-2021,14XQppyhaf3krQ-LcREWeRTblLjiN9pZo,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
sing-2016,animation,sing-2016.pdf,296317,33817e92b2a1905560420ce66424cf653155e7c87784fdc0eecc2e16d67b51ff,https://www.scriptslug.com/script/sing-2016,1vDw8Awss5jQFnx_v8x1xQt8SsvaBbVuN,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
soul-2020,animation,soul-2020.pdf,313081,c25e38a0dedfe6767923cc7bc4feebe43325f6bb362d4326ed435ec265a03878,https://www.scriptslug.com/script/soul-2020,1qoFq5N0yKOIdjRhlw_9Dn_UwJSF3Dgt8,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
spider-man-across-the-spider-verse-2023,animation,spider-man-across-the-spider-verse-2023.pdf,416504,9c5205efb9d02cd4d36466aca2ebd31689d5530a0f0861293800b74e3a72f075,https://www.scriptslug.com/script/spider-man-across-the-spider-verse-2023,1CFvUz79KpE-6d8Fpj57n30t9s1-31df9,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
spider-man-into-the-spider-verse-2018,animation,spider-man-into-the-spider-verse-2018.pdf,361288,1e1fdea0397ef56158c78618b5d7ceb94e505c60490d2bdb8ef4c60ad406dac1,https://www.scriptslug.com/script/spider-man-into-the-spider-verse-2018,1DlExDcWK1y5YRe8vn3TvazhodMLuGFSw,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
teenage-mutant-ninja-turtles-mutant-mayhem-2023,animation,teenage-mutant-ninja-turtles-mutant-mayhem-2023.pdf,279367,724f8c98f5ab179a27151dd50f5a10e06fc05e159d671a78b99cc6dadf632282,https://www.scriptslug.com/script/teenage-mutant-ninja-turtles-mutant-mayhem-2023,1ysaF6l051ychO0QqtH_bBrTBv-2gmgsT,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
the-boss-baby-family-business-2021,animation,the-boss-baby-family-business-2021.pdf,413503,c354ee75740483f85cb758ffc04d9a888e42560ad631cba556a9fc2219fb020d,https://www.scriptslug.com/script/the-boss-baby-family-business-2021,1cr6UYl4PWvHCgrTp_lzYHYcb1lu_HJAR,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
the-good-dinosaur-2015,animation,the-good-dinosaur-2015.pdf,124585,506c6dbfc26809190add4c129c19b7f66ffbf1ba8961260e9b71fbcc85cc7dca,https://www.scriptslug.com/script/the-good-dinosaur-2015,1N6Ni-dhtzR0k1zOIaK1dvghFF9NuuDNe,1WdwHdC9X-HxWPIJMoEV8jEvPHxBHfHtm,none,reference_only
